document_index,score,lexical_diversity,char_entropy,token_entropy,repetition_penalty,ngram_repetition_penalty,pii_density_penalty,url_html_noise_penalty,non_linguistic_symbol_penalty,length_prior,language_consistency,optional_lm_surprisal,duplicate_cluster_penalty
39,0.7496257359598547,0.6909090909090909,1.0,0.7534724039751495,0.9174311926605505,0.9722222222222222,0.6774193548387097,0.0,0.5808936825885979,1.0,0.9913793103448276,1.0,1.0
40,0.8610110193120106,0.9310344827586207,0.9951384381019179,0.7881265576707461,1.0,1.0,0.6052631578947368,0.65,0.7049180327868853,1.0,1.0,1.0,1.0
41,0.8024676831292292,0.782051282051282,0.9920944152485083,0.7275588310332772,0.974025974025974,1.0,1.0,0.0,0.550561797752809,1.0,0.9874213836477987,1.0,1.0
42,0.6037845531575804,0.1,0.7169667551086263,0.1981203125901445,0.10344827586206895,0.1071428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,0.8380032433160259,0.8433734939759037,1.0,0.7500133393419142,1.0,1.0,0.5714285714285714,0.65,0.6333333333333333,1.0,1.0,1.0,1.0
44,0.859668914173268,0.9302325581395349,0.9958498136603751,0.7858412338726459,1.0,1.0,0.6,0.65,0.7,1.0,1.0,1.0,1.0
45,0.8915542828705683,0.8395061728395061,0.9691360033574581,0.7488629440234016,0.9875,1.0,1.0,0.65,0.6957494407158837,1.0,1.0,1.0,1.0
46,0.9154324822612631,0.782608695652174,0.9210209412336564,0.6978687047304407,0.9558823529411765,1.0,1.0,1.0,0.7666666666666666,1.0,1.0,1.0,1.0
47,0.8543002745973799,0.76,0.9771357530126796,0.7027527113047736,0.9324324324324325,0.9726027397260274,0.5714285714285714,1.0,0.7023255813953488,1.0,1.0,1.0,1.0
48,0.8702331099476321,0.7160493827160493,0.9016335112600556,0.685732541589322,0.9625,1.0,1.0,0.65,0.7607655502392344,1.0,1.0,1.0,1.0
49,0.7496257359598547,0.6909090909090909,1.0,0.7534724039751495,0.9174311926605505,0.9722222222222222,0.6774193548387097,0.0,0.5808936825885979,1.0,0.9913793103448276,1.0,1.0
50,0.6037845531575804,0.1,0.7169667551086263,0.1981203125901445,0.10344827586206895,0.1071428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,0.9239481662244049,0.7571428571428571,0.9077300725489488,0.6956072074675369,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0
52,0.8952928232990026,0.8666666666666667,0.9774879770320858,0.7440108571417127,0.9864864864864865,1.0,1.0,0.65,0.7104072398190044,1.0,0.9880952380952381,1.0,1.0
53,0.7872206206845335,0.6781609195402298,0.9264819404613105,0.7038892150226274,0.9651162790697675,1.0,1.0,0.0,0.5923566878980892,1.0,1.0,1.0,1.0
54,0.9310383499182171,0.821917808219178,0.867319042777768,0.7204413995196532,1.0,1.0,1.0,1.0,0.8585858585858586,1.0,1.0,1.0,1.0
55,0.916575355318162,0.7903225806451613,0.8977199299872509,0.6863009752859329,0.9836065573770492,1.0,1.0,1.0,0.7666666666666666,1.0,1.0,1.0,1.0
56,0.8157805951402455,0.7972972972972973,0.9441088142699421,0.7195773210341476,1.0,1.0,1.0,0.0,0.6775818639798489,1.0,1.0,1.0,1.0
57,0.6133682225187076,0.125,0.7215834768562785,0.1981203125901445,0.13043478260869568,0.13636363636363635,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,0.8123329019167933,0.7746478873239436,0.9651800030458659,0.7000219990777792,1.0,1.0,1.0,0.0,0.6610169491525424,1.0,1.0,1.0,1.0
59,0.9308174738090439,0.796875,0.9268008223284468,0.692363720694674,1.0,1.0,1.0,1.0,0.8444444444444444,1.0,1.0,1.0,1.0
60,0.8621416612142264,0.7894736842105263,1.0,0.7258761776601736,0.9466666666666667,0.972972972972973,0.5833333333333333,1.0,0.6751740139211138,1.0,1.0,1.0,1.0
61,0.9146540836653756,0.7419354838709677,0.9033890681728172,0.6751925579384996,0.9836065573770492,1.0,1.0,1.0,0.7994428969359332,1.0,1.0,1.0,1.0
62,0.769310663865821,0.7741935483870968,0.9546070308605765,0.7525229931808555,0.967391304347826,1.0,0.6511627906976745,0.0,0.6694214876033058,1.0,1.0,1.0,1.0
63,0.6133682225187076,0.125,0.7215834768562785,0.1981203125901445,0.13043478260869568,0.13636363636363635,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,0.8825613363693856,0.7439024390243902,0.8919490454178993,0.7192217825828596,0.9876543209876543,1.0,1.0,0.65,0.803921568627451,1.0,1.0,1.0,1.0
65,0.604248271631904,0.1,0.7215111961569972,0.1981203125901445,0.10344827586206895,0.1071428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66,0.9310946567269668,0.8360655737704918,0.9466412886505742,0.6914148557679012,1.0,1.0,1.0,1.0,0.7888888888888889,1.0,1.0,1.0,1.0
67,0.8690666066081494,0.7125,0.9018959170078304,0.6821579442300235,0.9620253164556962,1.0,1.0,0.65,0.7560975609756098,1.0,1.0,1.0,1.0
68,0.931141640319093,0.7941176470588235,0.8908842705836044,0.7030104746336326,1.0,1.0,1.0,1.0,0.8777777777777778,1.0,1.0,1.0,1.0
69,0.9138546065899326,0.7733333333333333,0.8922529235924799,0.7054087580438291,0.9459459459459459,0.9726027397260274,1.0,1.0,0.8235294117647058,1.0,1.0,1.0,1.0
70,0.8117111031618186,0.8142857142857143,0.9609281293960082,0.7134643503246798,0.9710144927536232,1.0,1.0,0.0,0.6464646464646464,1.0,1.0,1.0,1.0
71,0.7858721060337873,0.6744186046511628,0.9271977026829286,0.7006243872402467,0.9647058823529412,1.0,1.0,0.0,0.5853131749460043,1.0,1.0,1.0,1.0
72,0.8062945564297033,0.7323943661971831,0.9244062800147386,0.6906118265990003,0.9571428571428572,1.0,1.0,0.0,0.7481108312342569,1.0,1.0,1.0,1.0
73,0.8124461758345225,0.7792207792207793,0.9665723249757614,0.7210682397027713,0.9736842105263158,0.9866666666666667,1.0,0.0,0.6868686868686869,1.0,1.0,1.0,1.0
74,0.9241935295272156,0.7922077922077922,0.929524794458404,0.7244771122191834,1.0,1.0,1.0,1.0,0.7653061224489796,1.0,0.9863945578231292,1.0,1.0
75,0.8909252212702633,0.8378378378378378,0.9892035045091967,0.7242308472202346,1.0,1.0,1.0,0.65,0.6746411483253589,1.0,1.0,1.0,1.0
76,0.6037845531575804,0.1,0.7169667551086263,0.1981203125901445,0.10344827586206895,0.1071428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,0.8962217064002032,0.868421052631579,0.9770090243328001,0.7468546110518899,0.9866666666666667,1.0,1.0,0.65,0.7155555555555555,1.0,0.9883381924198251,1.0,1.0
78,0.8927277237078329,0.8289473684210527,0.9813604076388878,0.7336967163150477,1.0,1.0,1.0,0.65,0.7097505668934241,1.0,0.9881656804733728,1.0,1.0
79,0.9373806985327654,0.875,0.9257458874038322,0.71875,1.0,1.0,1.0,1.0,0.8105849582172702,1.0,1.0,1.0,1.0
80,0.9339776501407864,0.8928571428571429,0.9688977158261837,0.6991336509714863,0.9818181818181818,1.0,1.0,1.0,0.7555555555555555,1.0,1.0,1.0,1.0
81,0.905701939803782,0.7647058823529411,0.9052974075364322,0.6942698726075969,0.9253731343283582,0.9696969696969697,1.0,1.0,0.7777777777777778,1.0,1.0,1.0,1.0
82,0.6133682225187076,0.125,0.7215834768562785,0.1981203125901445,0.13043478260869568,0.13636363636363635,1.0,1.0,1.0,1.0,1.0,1.0,1.0
83,0.8934257114414911,0.8378378378378378,0.8987181653621713,0.7250589299831959,1.0,1.0,1.0,0.65,0.7889688249400479,1.0,1.0,1.0,1.0
84,0.9168743694260261,0.7432432432432432,0.8773847560301874,0.7022383640975084,0.9452054794520548,0.9722222222222222,1.0,1.0,0.9019607843137255,1.0,1.0,1.0,1.0
85,0.8052723249562882,0.8285714285714286,0.9811803250761171,0.7206072074675369,0.9855072463768116,1.0,1.0,0.0,0.5242718446601942,1.0,1.0,1.0,1.0
86,0.8752481838228954,0.7662337662337663,0.9482291948140803,0.714145086283144,0.9342105263157895,0.9733333333333334,1.0,0.65,0.7538461538461538,1.0,1.0,1.0,1.0
87,0.9283015488714856,0.7971014492753623,0.9055944810930521,0.6939887963063894,0.9852941176470589,1.0,1.0,1.0,0.8585858585858586,1.0,1.0,1.0,1.0
88,0.8146338862345511,0.8148148148148148,0.957043912105302,0.7396036847641423,1.0,1.0,1.0,0.0,0.6198704103671706,1.0,1.0,1.0,1.0
89,0.9232521911282807,0.7397260273972602,0.9386798164599988,0.6986008387282775,1.0,1.0,1.0,1.0,0.8105849582172702,1.0,1.0,1.0,1.0
90,0.8156847958328642,0.8170731707317073,0.9563418378503764,0.7424612833417568,1.0,1.0,1.0,0.0,0.6263269639065818,1.0,1.0,1.0,1.0
91,0.8135168049031423,0.7777777777777778,0.9231141825549798,0.7311009455599341,0.9375,0.9746835443037974,1.0,0.0,0.7932584269662921,1.0,1.0,1.0,1.0
92,0.9353979851193573,0.8285714285714286,0.8518103592305097,0.7192591940708165,1.0,1.0,1.0,1.0,0.9111111111111111,1.0,1.0,1.0,1.0
