dataset,dataset_status,dataset_scope,method,seed,run_status,train_tokens,evaluated_validation_tokens,tokenizer_hash,vocab_size,parameter_count,mean_ppl,final_validation_loss,keep_rate,distribution_shift_metric,source_run_id,artifact_hash,safe_interpretation
openwebtext_streaming,real_nonfallback,streaming_sample,random_same_keep_rate,3,completed_training,40960,2048,2ef25bf78b87afde1dfa665b9e99587b304175731dfa3c9da0afefdc7a4af7f3,117,10741632,82.1373745255003,4.408393144607544,0.6021505376344086,0.397849,train:openwebtext_streaming:small:random_same_keep_rate:3:completed_training:2026-06-04T21:02:20+00:00,b9fe00e7693f519f0da0c57c491c84e7ac615bd4eac4cb84717fe3eae66d4bc3,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
openwebtext_streaming,real_nonfallback,streaming_sample,raw,1,completed_training,40960,2048,2ef25bf78b87afde1dfa665b9e99587b304175731dfa3c9da0afefdc7a4af7f3,117,10741632,245.90505756685639,5.504945516586304,1.0,0.000000,train:openwebtext_streaming:small:raw:1:completed_training:2026-06-04T21:02:07+00:00,98ac3246e64f403b2c8161724df75465c2f6926a94ecbc2473327007b36edc55,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
openwebtext_streaming,real_nonfallback,streaming_sample,raw,2,completed_training,40960,2048,2ef25bf78b87afde1dfa665b9e99587b304175731dfa3c9da0afefdc7a4af7f3,117,10741632,77.00285556368391,4.343842506408691,1.0,0.000000,train:openwebtext_streaming:small:raw:2:completed_training:2026-06-04T21:02:13+00:00,4b4567aca72277196406bab6567e03a672bca27954375409874051fedf241b62,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
openwebtext_streaming,real_nonfallback,streaming_sample,raw,3,completed_training,40960,2048,2ef25bf78b87afde1dfa665b9e99587b304175731dfa3c9da0afefdc7a4af7f3,117,10741632,77.71548451825461,4.353054523468018,1.0,0.000000,train:openwebtext_streaming:small:raw:3:completed_training:2026-06-04T21:02:19+00:00,f5442b02cd94817da8dbfa2bb878a30d8ca397e25aaa7b2c03d541ae4cc31612,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
wikitext2_paper,real_local_nonfallback,official_split,dedup_only,1,completed_training,1228800,53248,1ea189d583a09abd7baad7a9d2fd15c6800e31c1740d05f3a604f140adc2d84d,283,10854528,12.119296511811687,2.494798935376681,0.9920508744038156,0.007949,train:wikitext2_paper:small:dedup_only:1:completed_training:2026-06-04T11:56:53+00:00,cf75a8db0ff908c5508d0f530eba5ba4096bd31386bba11a54e9d88f0719ac6a,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
wikitext2_paper,real_local_nonfallback,official_split,dedup_only,2,completed_training,1228800,53248,1ea189d583a09abd7baad7a9d2fd15c6800e31c1740d05f3a604f140adc2d84d,283,10854528,13.612351212515335,2.6109775579892673,0.9920508744038156,0.007949,train:wikitext2_paper:small:dedup_only:2:completed_training:2026-06-04T12:00:14+00:00,214fbeda6b62d47d8e06738bc12169fb6ba1674a2efd669ab79142b4c0516aa0,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
wikitext2_paper,real_local_nonfallback,official_split,dedup_only,3,completed_training,1228800,53248,1ea189d583a09abd7baad7a9d2fd15c6800e31c1740d05f3a604f140adc2d84d,283,10854528,12.446555033958242,2.521443880521334,0.9920508744038156,0.007949,train:wikitext2_paper:small:dedup_only:3:completed_training:2026-06-04T12:04:10+00:00,1375241700a419dae3163e3cb443d71f64eb02ca6f6ebdd67bebf3c02b00e89b,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
wikitext2_paper,real_local_nonfallback,official_split,hdqspp_v3,1,completed_training,1228800,53248,1ea189d583a09abd7baad7a9d2fd15c6800e31c1740d05f3a604f140adc2d84d,283,10854528,13.522396137594022,2.604347284023578,0.8505564387917329,0.149444,train:wikitext2_paper:small:hdqspp_v3:1:completed_training:2026-06-04T13:42:25+00:00,79da1b24344fd42f2d29158f6c6a1c25d24ea790de74e19e5d9ced7a1ee24c77,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
wikitext2_paper,real_local_nonfallback,official_split,hdqspp_v3,2,completed_training,1228800,53248,1ea189d583a09abd7baad7a9d2fd15c6800e31c1740d05f3a604f140adc2d84d,283,10854528,13.515374621943122,2.603827898318951,0.8505564387917329,0.149444,train:wikitext2_paper:small:hdqspp_v3:2:completed_training:2026-06-04T13:43:20+00:00,0164ed0b49f3aed5adc801a9d6c7fbe91659018c9b3e148c2304060586fe9c05,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
wikitext2_paper,real_local_nonfallback,official_split,hdqspp_v3,3,completed_training,1228800,53248,1ea189d583a09abd7baad7a9d2fd15c6800e31c1740d05f3a604f140adc2d84d,283,10854528,12.664383213422374,2.538793582182664,0.8505564387917329,0.149444,train:wikitext2_paper:small:hdqspp_v3:3:completed_training:2026-06-04T13:44:15+00:00,6814d5243833e0e5c9ca427234d0a424cd83ff25dd3d572a379e9f57fe27a588,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
wikitext2_paper,real_local_nonfallback,official_split,random_same_keep_rate,1,completed_training,1228800,53248,1ea189d583a09abd7baad7a9d2fd15c6800e31c1740d05f3a604f140adc2d84d,283,10854528,12.109757474784752,2.4940115305093618,0.5993640699523053,0.400636,train:wikitext2_paper:small:random_same_keep_rate:1:completed_training:2026-06-04T11:55:52+00:00,764a39ceddeb4708c0c8e00008e2bf3a252c4483937088a83d1b22251f10d9cf,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
wikitext2_paper,real_local_nonfallback,official_split,random_same_keep_rate,2,completed_training,1228800,53248,1ea189d583a09abd7baad7a9d2fd15c6800e31c1740d05f3a604f140adc2d84d,283,10854528,13.384315650741982,2.594083547592163,0.5993640699523053,0.400636,train:wikitext2_paper:small:random_same_keep_rate:2:completed_training:2026-06-04T11:59:08+00:00,c12dad3bc7fef5f6c5abb9419679852d9ed57f795fb199ae756d86eb66a3fee4,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
wikitext2_paper,real_local_nonfallback,official_split,random_same_keep_rate,3,completed_training,1228800,53248,1ea189d583a09abd7baad7a9d2fd15c6800e31c1740d05f3a604f140adc2d84d,283,10854528,12.62334827354805,2.53554813678448,0.5993640699523053,0.400636,train:wikitext2_paper:small:random_same_keep_rate:3:completed_training:2026-06-04T12:03:00+00:00,9109efa6913cc18aff8ebc856e0bec100e839a82e0a6ee743674070ebe1380d1,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
wikitext2_paper,real_local_nonfallback,official_split,raw,1,completed_training,1228800,53248,1ea189d583a09abd7baad7a9d2fd15c6800e31c1740d05f3a604f140adc2d84d,283,10854528,12.700065147234092,2.5416071231548605,1.0,0.000000,train:wikitext2_paper:small:raw:1:completed_training:2026-06-04T11:55:23+00:00,4b666aeba0c5a616d3cadff2cf739b8479bfb63f9970a237c0279d95cb055d58,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
wikitext2_paper,real_local_nonfallback,official_split,raw,2,completed_training,1228800,53248,1ea189d583a09abd7baad7a9d2fd15c6800e31c1740d05f3a604f140adc2d84d,283,10854528,11.311079746470925,2.4257827538710375,1.0,0.000000,train:wikitext2_paper:small:raw:2:completed_training:2026-06-04T11:58:40+00:00,9fb7fc4d342d6e0f84ecce28b3ef4c3a02281280238d8f5296d996eb7d90dc6f,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
wikitext2_paper,real_local_nonfallback,official_split,raw,3,completed_training,1228800,53248,1ea189d583a09abd7baad7a9d2fd15c6800e31c1740d05f3a604f140adc2d84d,283,10854528,13.853156799768039,2.628513134442843,1.0,0.000000,train:wikitext2_paper:small:raw:3:completed_training:2026-06-04T12:02:26+00:00,f1bc38774589c5badbe50557a20dc4c6a0a4bb453f75be048d408575c7d0ca53,"Completed under this dataset protocol; compare methods within the same dataset, tokenizer, vocabulary, parameter count, and token budget."
